disease_id,crop_name,disease_name,region,year,infection_rate,area_affected,severity,temperature,humidity,rainfall,leaf_color,spot_pattern,spot_color,leaf_texture,damage_type,fungicide_effective,treatment_days,recovery_rate,yield_loss
1,Potato,Fusarium Wilt,West Bengal,2020,88.72201050506366,54.199033733359975,Critical,22.40116819349322,43.80407597100094,105.28222073050269,Brown,Linear,Yellow,Rough,Root,Partial,50,88.52264618061055,76.95945861748356
2,Sugarcane,Wheat Head Scab,Punjab,2024,87.04824029218578,32.735213883539885,Medium,15.175055542909146,82.32117321896692,66.52029955755032,Black,Irregular,Black,Fuzzy,Flower,No,48,38.91263496240182,10.066792760181942
3,Chilli,Powdery Mildew,West Bengal,2022,3.7964673206392408,55.64935805005624,Critical,32.165751631592784,87.2167163246512,48.158478343906275,Reddish,Irregular,Red,Rough,Flower,No,14,17.468603904389212,92.49240506124707
4,Carrot,Mosaic Virus,Rajasthan,2019,96.31401242886714,42.38059181956774,High,10.606296733821871,75.94154037634851,55.08795102257038,Brown,Circular,Gray,Powdery,Root,Partial,8,64.18877014230712,77.904250568568
5,Rice,Damping Off,Karnataka,2018,73.41723108158355,58.46844953102197,Medium,22.340597027304067,43.16605926887323,146.0586681421947,Green,Linear,Brown,Smooth,Flower,Yes,16,91.08593031960517,89.18171255039849
6,Carrot,Anthracnose,Rajasthan,2020,14.576428520531081,56.21423436506079,Critical,25.2242090226692,36.82068831881684,167.3621684043941,Reddish,Linear,Black,Rough,Stem,No,39,83.3776802797045,36.44241002395256
7,Mango,Wheat Head Scab,Maharashtra,2024,40.62605772999611,45.22977757280304,Medium,27.892593712131564,43.27074386440561,156.37481873818442,Black,Irregular,Red,Powdery,Root,Partial,31,89.65716657798131,60.81811404612362
8,Orange,Fusarium Wilt,Uttar Pradesh,2019,94.95604537196071,44.912442859337155,Medium,35.92901812623458,60.98863658553922,162.3878022471028,Black,Irregular,Black,Rough,Stem,Yes,20,31.46157900015404,43.776376810769044
9,Potato,Mosaic Virus,Madhya Pradesh,2023,85.37844875268374,96.12644800710592,Critical,35.85346607883703,89.31898021188387,3.446320761084576,Reddish,Circular,Brown,Powdery,Leaf,Partial,21,49.90208687912296,52.38562695947634
10,Turmeric,Septoria Leaf Blotch,Punjab,2021,34.4593459968597,7.454742586229193,Medium,20.51254039253963,99.43048373719851,49.46800963428581,Reddish,Circular,Black,Smooth,Stem,Yes,34,18.637961176436203,1.1909843168596224
